country_key,country_name,capital_city,continent,region
country--north-korea,North Korea,Pyongyang,Asia,Asia
country--northern-ireland,Northern Ireland,Belfast,,Europe
country--northern-mariana-islands,Northern Mariana Islands,,Oceania,North America
country--norway,Norway,Oslo,Europe,Europe
country--oman,Oman,Muscat,Asia,Middle East
country--pakistan,Pakistan,Islamabad,Asia,Asia
country--palau,Palau,Ngerulmud,Oceania,Oceania
country--palestinian-territories,Palestinian Territories,,Asia,Asia
country--panama,Panama,Panama City,North America,Central America
country--papua-new-guinea,Papua New Guinea,Port Moresby,Oceania,Oceania
country--paraguay,Paraguay,Asuncion,South America,South America
country--peru,Peru,Lima,South America,South America
country--philippines,Philippines,Manila,Asia,Asia
country--pitcairn-islands,Pitcairn Islands,,Oceania,Oceania
country--poland,Poland,Warsaw,Europe,Europe
country--portugal,Portugal,Lisbon,Europe,Europe
country--puerto-rico,Puerto Rico,San Juan,North America,Caribbean
country--qatar,Qatar,Doha,Asia,Middle East
country--reunion,Réunion,,Africa,Africa
country--romania,Romania,Bucharest,Europe,Europe
country--russia,Russia,Moscow,Europe,Europe
country--rwanda,Rwanda,Kigali,Africa,Africa
country--saint-helena,Saint Helena,,Africa,Africa
country--saint-kitts-and-nevis,Saint Kitts and Nevis,,North America,Central America
country--saint-lucia,Saint Lucia,Castries,North America,Caribbean
country--saint-pierre-and-miquelon,Saint Pierre and Miquelon,,North America,Central America
country--saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,Kingstown,North America,Caribbean
country--samoa,Samoa,Apia,Oceania,Oceania
country--san-marino,San Marino,San Marino,Europe,Europe
country--sao-tome-and-principe,São Tomé and Príncipe,,Africa,Africa
country--saudi-arabia,Saudi Arabia,Riyadh,Asia,Asia
country--scotland,Scotland,Edinburgh,Europe,Europe
country--senegal,Senegal,Dakar,Africa,Africa
country--serbia,Serbia,Belgrade,Europe,Europe
country--seychelles,Seychelles,Victoria,Africa,Africa
country--sierra-leone,Sierra Leone,Freetown,Africa,Africa
country--singapore,Singapore,Singapore,Asia,Asia
country--slovakia,Slovakia,Bratislava,Europe,Europe
country--slovenia,Slovenia,Ljubljana,Europe,Europe
country--solomon-islands,Solomon Islands,Honiara,Oceania,Oceania
country--somalia,Somalia,Mogadishu,Africa,Africa
country--south-africa,South Africa,"Pretoria, Cape Town, Bloemfontein",Africa,Africa
country--south-georgia-and-the-south-sandwich-islands,South Georgia and the South Sandwich Islands,,Antarctica,Antarctica
country--south-korea,South Korea,Seoul,Asia,Asia
country--spain,Spain,Madrid,Europe,Europe
country--sri-lanka,Sri Lanka,"Colombo, Sri Jayawardenepura Kotte",Asia,Asia
country--sudan,Sudan,Khartoum,Africa,Africa
country--suriname,Suriname,Paramaribo,South America,South America
country--svalbard-and-jan-mayen,Svalbard and Jan Mayen,,Europe,Europe
country--swaziland,Swaziland,,Africa,Africa
country--sweden,Sweden,Stockholm,Europe,Europe
country--switzerland,Switzerland,Bern,Europe,Europe
country--syria,Syria,Damascus,Asia,Middle East
country--tahiti,Tahiti,Papeʻete,,Oceania
country--taiwan,Taiwan,Taipei,Asia,Asia
country--tajikistan,Tajikistan,Dushanbe,Asia,Asia
country--tanzania,Tanzania,Dodoma,Africa,Africa
country--thailand,Thailand,Bangkok,Asia,Asia
country--timor-leste,Timor-Leste,,Asia,Unknown
country--togo,Togo,Lome,Africa,Africa
country--tokelau,Tokelau,,Oceania,Oceania
country--tonga,Tonga,Nuku'alofa,Oceania,Oceania
country--trinidad-tobago,Trinidad & Tobago,Port of Spain,,Caribbean
country--trinidad-and-tobago,Trinidad and Tobago,,North America,Central America
country--tunisia,Tunisia,Tunis,Africa,Africa
country--turkey,Turkey,Ankara,Europe,Europe
country--turkmenistan,Turkmenistan,Ashgabat,Asia,Asia
country--turks-and-caicos-islands,Turks and Caicos Islands,,North America,Central America
country--tuvalu,Tuvalu,Funafuti,Oceania,Oceania
country--u-s-minor-outlying-islands,U.S. Minor Outlying Islands,,Oceania,North America
country--u-s-virgin-islands,U.S. Virgin Islands,,North America,North America
country--uganda,Uganda,Kampala,Africa,Africa
country--ukraine,Ukraine,Kiev,Europe,Europe
country--united-arab-emirates,United Arab Emirates,Abu Dhabi,Asia,Middle East
country--united-kingdom,United Kingdom,,Europe,Europe
country--united-states,United States,Washington DC,North America,North America
country--uruguay,Uruguay,Montevideo,South America,South America
country--uzbekistan,Uzbekistan,Tashkent,Asia,Asia
country--vanuatu,Vanuatu,Port Vila,Oceania,Oceania
country--vatican-city,Vatican City,Vatican City,Europe,Europe
country--venezuela,Venezuela,Caracas,South America,South America
country--vietnam,Vietnam,Hanoi,Asia,Asia
country--wales,Wales,Cardiff,Europe,Europe
country--wallis-and-futuna,Wallis and Futuna,,Oceania,Oceania
country--western-sahara,Western Sahara,,Africa,Africa
country--yemen,Yemen,Sanaa,Asia,Middle East
country--zambia,Zambia,Lusaka,Africa,Africa
country--zimbabwe,Zimbabwe,Harare,Africa,Africa
